assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
104268260,22724899,Arremon perijanus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERELLIDAE,Arremon,perijanus,,,,"(Phelps, Sr and Gilliard, 1940)",Vulnerable,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
104268890,22724917,Arremon phygas,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERELLIDAE,Arremon,phygas,,,,"(Berlepsch, 1912)",Vulnerable,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
104270410,103711391,Myiagra cervinicolor,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MONARCHIDAE,Myiagra,cervinicolor,,,,"(Salomonsen, 1964)",Vulnerable,C2a(ii),3.1,Decreasing,Global
104270591,22717059,Mirafra sharpii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ALAUDIDAE,Mirafra,sharpii,,,,"Elliot, 1897",Endangered,C2a(ii),3.1,Decreasing,Global
104271180,22713953,Zosterops winifredae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ZOSTEROPIDAE,Zosterops,winifredae,,,,"Sclater, 1935",Vulnerable,C2a(ii),3.1,Decreasing,Global
104272158,22713949,Zosterops kulalensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ZOSTEROPIDAE,Zosterops,kulalensis,,,,"Williams, 1947",Near Threatened,D2,3.1,Unknown,Global
104272419,22713957,Zosterops silvanus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ZOSTEROPIDAE,Zosterops,silvanus,,,,"Peters &amp; Loveridge, 1935",Endangered,"B1ab(i,ii,iii,v)",3.1,Unknown,Global
104275573,103798427,Cinnyris prigoginei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,NECTARINIIDAE,Cinnyris,prigoginei,,,,"(Macdonald, 1958)",Near Threatened,B1b(iii),3.1,Decreasing,Global
104276065,103799620,Cinnyris usambaricus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,NECTARINIIDAE,Cinnyris,usambaricus,,,,"(Grote, 1922)",Near Threatened,B1b(iii),3.1,Stable,Global
104278957,103777087,Junco bairdi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERELLIDAE,Junco,bairdi,,,,"Ridgway, 1883",Near Threatened,C2a(ii),3.1,Unknown,Global
104279152,22721102,Junco insularis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERELLIDAE,Junco,insularis,,,,"Ridgway, 1876",Endangered,D,3.1,Increasing,Global
104288919,103780279,Passerculus sanctorum,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERELLIDAE,Passerculus,sanctorum,,,,"Coues, 1884",Near Threatened,D2,3.1,Stable,Global
104301961,103687306,Myzomela longirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Myzomela,longirostris,,,,"Mayr &amp; Rand, 1935",Near Threatened,C2a(ii),3.1,Decreasing,Global
